i,j,rho,target_dist_um,actual_dist_um,within_blockade_7p5,beyond_15um_lowcorr_rule
A027,A018,0.08196997962665467,16.0,20.49008442159077,False,True
A027,A008,0.13025913611143458,15.43004799380919,17.89158730800427,False,True
A027,A022,0.12271319783069654,15.849266787183526,12.736131993958313,False,False
A027,A038,0.1481591059407736,14.435605225512576,8.444819991509842,False,False
A027,A004,0.14374987505043238,14.680562497198201,8.288192053621271,False,False
A027,A048,0.025436317538184695,16.0,19.046517373508234,False,True
A027,A034,0.10127319683428214,16.0,13.941253027039386,False,False
A018,A008,0.08236079302531457,16.0,8.881855573433757,False,False
A018,A022,0.06639213997660628,16.0,13.868202704241023,False,False
A018,A038,0.13026358165446733,15.429801019196258,17.76071635297229,False,True
A018,A004,0.11006624617235924,16.0,18.525512381251808,False,True
A018,A048,0.15428207042568629,14.095440531906316,7.110616714222665,True,False
A018,A034,0.10118587338055189,16.0,14.411252167307266,False,False
A008,A022,0.19148927561085943,12.028373577174476,6.6616632175987816,True,False
A008,A038,0.0379418323802264,16.0,11.852590048158035,False,False
A008,A004,0.1117216054118822,16.0,19.75653254543171,False,True
A008,A048,0.11957243272523367,16.0,14.450728023710973,False,False
A008,A034,0.1371628375346971,15.046509025850161,18.602112478419823,False,True
A022,A038,0.23597565772962334,9.556907903909813,5.357546731520898,True,False
A022,A004,0.09572508526488943,16.0,17.04011982888651,False,True
A022,A048,0.1317717602050297,15.346013321942793,17.23849199229276,False,True
A022,A034,0.10272066182436128,16.0,18.27178617364373,False,True
A038,A004,0.05341813288179861,16.0,14.784874137478738,False,False
A038,A048,0.10697308007884379,16.0,19.417507924913377,False,True
A038,A034,0.09505201176684148,16.0,17.97599465791745,False,True
A004,A048,0.08265057724936634,16.0,14.344131182067759,False,False
A004,A034,0.16947465035594628,13.25140831355854,6.7770960863631675,True,False
A048,A034,0.10891348888504626,16.0,8.559512075404465,False,False
